Job_domain,Skills
Data Scientist,"Machine Learning,SQL, NoSQL,Python,AWS, Deep Learning,Data Analytics,EDA, Cloud Native Application development,  cloud managed services,Statistical Analysis,Research Knowledge,Modeling,Data Preparation,Data Pipeline Design, Development,Sales and Production Forecasting,Leadership and Team Development,Reporting and Dashboard Creation,Data Integration,Big Data,AWS,Diagnostic Models,machine learning, deep learning, NLP, expert systems , reinforcement learning , Convolutional Neural Networks , Recurrent Neural Networks ,  TensorFlow, PyTorch, scikit-learn, NumPy, Pandas, Statsmodels,  XGBoost ,Big Data,AWS,Diagnostic Models,machine learning, deep learning, NLP, expert systems , reinforcement learning , Convolutional Neural Networks , Recurrent Neural Networks ,  TensorFlow, PyTorch, scikit-learn, NumPy, Pandas, Statsmodels,  XGBoost ,ETL pipelines, Informatica, Rivery, SSIS, SQL, Oracle, Snowflake,Python, NumPy, Pandas, Spark, BI models, Databricks,Data engineering, Generative AI , vector databases, spaCy, NLTK, Word2vec, pyTorch, Azure, AWS, GCP, Hadoop, Airflow, Pandas,software development, Python, communication skills, machine learning, deep neural networks, Generative AI models, GPT, Llama, ChromaDB, Pinecone, Pgvector, Elasticsearch, data scientist, applied statistics, DL, natural language processing, structured data, unstructured data, predictive modeling, visual analytics,  R, Python, analytical skills, AI, ML,Python developer, machine learning , product development,Wolfram Language, statistical methods, data analytics techniques, datasets, data manipulation, transformation, data science, AI, machine learning, Python, R, Java, statistics, data analytics,Data Extraction, Data Warehousing , Data Visualization, Data Modeling, Data Structures,database performance, database security, database availability, documentation, database procedures, database upgrade, database backup, database recovery, database migration, server resource profiling, server resource optimization, SQL Server, CSS, HTML, JavaScript, Big Data, ElasticSearch, Elastic Index,Data Science,Recommender Systems,Deep Learning,Python,Excel Sheet,SQL,BE/ME in Engineering or equivalent, computer vision, implementing computer vision algorithms, deep learning expertise, proficiency in frameworks, solid problem-solving skills, RDBMS, Big Data, NOSQL, ETL, and Data Warehousing. Mandatory skills in Python/R, SQL, with preferred expertise in AWS technologies and cloud services,Bachelor's degree, robotics, engineering, education, related field, robotics principles, mechanics, electronics, programming, communication skills,, lesson plans, robotics software, hardware,,MySQL,PySpark,Python, Amazon Web Services (AWS),Analytics, Big Data,Data Engineering,Databases,Data Visualization, Data Science,  Data Pipelines,Azure Cloud,AWS, SQL,Big Data, Cloud Computing, Data Architecture,Data Warehousing,Data Modeling, Service-Oriented Architecture (SOA),Analytics, Cascading Style Sheets (CSS), Data Analytics, Statistical Data Analysis,Natural Language Processing (NLP),Deep Learning,Predictive Analytics, Data Visualisation,Python (Programming Language),Predictive Analytics ,Data Science,Data Analytics,English,Data Science,Deep Learning,Generative AI,Large Language Models (LLM),Machine Learning,Natural Language Processing (NLP), Neural Networks,Big Data,Data MiningData Modeling , Data Science,R (Programming Language),Statistical Modeling,Big Data,Data Mining,High Impact Communication, DataScience,DataIntegration,Statistical Analysis Tools,Analytical Skills,Big Data Analytics,Data Analytics,Data Science,python,R,Demos,Presentations,Artificial Intelligence,Anomaly Detection,Data Science,Data Analysis,Machine Learning,Python (Programming Language),SQL,Statistical Data Analysis,Amazon Kinesis,Data Analytics,Database Queries,Databases,Extract, Transform, Load (ETL),Snowflake,Snowflake Cloud,Deep Learning,Keras,Machine Learning,Natural Language Processing (NLP),PyTorch,Python (Programming Language),SQL,Scikit-Learn,TensorFlow"
ML Engineer,"Big Data,Communication Skills,ML,Data structure,Python/R,AI,ML,Communication Skills,Python ,R ,C++,Computer Vision,ML,Python,Git,TensorFlow, PyTorch, scikit-learn,TensorFlow, Keras, Python, scikit-learn, pandas, big datasets, OpenCV, Linux, hardware selection, ML model, latency,ML,DL, data scientists, reinforcement learning, computer vision, language processing, speech processing, product management, cloud deployment, Kubernetes, Docker containers, , GPT-3, Pathways, Google Bert, Transformer, TensorFlow, Torch, SCM, CI, build processes, testing, operations, Multi-Modal ML, Generative AI,LLM ,AI, NLP,Machine Learning, Deep Learning ,Text generation ,Conversation AI,Text Analysis,Semantic/Syntax Analysis,Sentiment Analysis,Speech Recognition,Generative AI,Text/Image/Content generation, Computational Linguistic,Text mining,Logistic Regression,Data Analysis,Data Visualization,Random Forests,Data Processing,SVM,Decision Trees,Data Science,Python,Bachelor’s degree, Computer Science, Mathematics, Statistics, related field, programming languages, Python, R, SQL, machine learning algorithms, problem-solving skills, analytical skills, communication skills, interpersonal abilities, commitment to staying updated on machine learning technologies and,Algorithms,Artificial Intelligence (AI),Data Mining,Data Science,Machine Learning,Machine Learning,Pattern Recognition,PyTorch,TensorFlow,Artificial Intelligence (AI),Computer Vision,Data Engineering,Data Science,Image Processings,Natural Language Processing (NLP),Neural Networks"
Software Engineer,"Algorithms,Back-End Web Development, Data Structures,Front-End Development,Programming Languages,Software Development,System Development,TypeScript,Back-End Web Development,Defect Management,Business Understanding,Hibernate,Software Maintenance,Regression Testing,Spring Framework,Traceability Matrix,IBM Db2,BM Tivoli Workload Scheduler (TWS),Software Development,Software Development Tools, z/OS, z/VM,Metrics Reporting,SAP ERP,Data Management & Reporting, communication skills, Aveva MES,Software Development,Software Validation,Microsoft Sql Server,Flow charts,Software Development, Problem-solving, Data Structures, Algorithms, Object-oriented Programming, System Design, Scalability, Design Patterns, Coding Proficiency, Analytical Skills, Team Collaboration"
Blockchain Developer,"Solidity, Ethereum, Go, JavaScript, Node.js, blockchain, Truffle, Web3.js, Ganache, blockchain protocols, consensus mechanisms, distributed ledger technologies (DLTs), cryptographic algorithms, digital signatures, HTML, CSS, front-end frameworks, React.js, Angular, back-end development technologies, Express.js, Flask, Django, database systems, query languages, NoSQL databases, MongoDB, cloud computing platforms, AWS, Azure, Google Cloud Platform (GCP), metamask, walletconnect, trustwallet,Blockchain, C++, Ethereum, Hyperledger, Java, JavaScript, Node.js, Python, ReactJS"
Full stack Developer,"Html, Css, Bootstrap, JavaScript, Jquery, Json, Php Basics, Adobe Suite, Photoshop, communication skills, .NET framework, front-end, web interfaces, HTML, CSS, JavaScript,  .NET programming languages, existing software, documentation, software development life cycle (SDLC),HTML, CSS, Java, Python, C++, Ruby,design, implementation, testing,HTML, CSS, JavaScript, ReactJS, Angular, Node.js, Python, Ruby, Database management, Git, e-commerce platforms,communication skills,Reacts Js,Javascript,SQL Database,Node.Js,Web Application Development,MongoDB,JavaScript, Node.js, Express, asynchronous programming, server-side templating, CSS preprocessors, HTML5, CSS3, accessibility, security compliance, user authentication, authorization, data integration, Git, REST API,HTML, CSS, JavaScript, React, Angular, Vue.js, Node.js, Express.js, Django, databases, SQL, problem-solving, teamwork, independent work, enrolled in relevant program,Django, Data Structures, APIs, user interface (UI) development, Python, REST API,JavaScript, Node.js, Express, asynchronous programming, server-side templating, CSS preprocessors, HTML5, CSS3, accessibility, security compliance, user authentication, authorization, integration of multiple data sources, databases, Git, Express.js, MySQL, REST API,Node.js, React.js, technical training, MySQL queries, task tracking, HTML, JavaScript, REST API,web application development, React, JavaScript, ES6, CSS3, React Native, Redux, complex feature development, RESTful APIs, Git, NPM, data structures, Ajax, CRUD operations, web development practices, English skills,web development experience, LAMP stack, PHP, MySQL, Laravel, CodeIgniter, web technologies, RESTful API development, database management, Git, Linux server administration, front-end technologies, debugging skills, collaboration, best practices adherence, proactive adaptation to new technologies,Full Stack Development, Scalable Software Solutions, Software Development Life Cycle, Front-end Development, Back-end Development, Coding Languages, Development Frameworks, Third-party Libraries, Visual Design, Team Player.Software Development Lifecycle, Estimating, Technical Design, Application Implementation, Python/Django, Front-end Experience, Detailed Specifications, Database Proficiency (Postgres, MongoDB), Collaboration, JavaScript Frameworks jQuery, Angular, React.Software design, test-driven development, Node.js, ReactJS, Git, quick learning, communication, resourcefulness, troubleshooting, attention to detail,IT Jobs, HTML,CSS , javascript ,Training Program, Offline Induction Training, Live Project Training, Soft Skills Development, Corporate Ethics, Resume Building, Placement Support, Globally Recognized Certificates, Hiring Clients, Resume Submission,IT Jobs, HTML,CSS , javascript ,Training Program, Offline Induction Training, Live Project Training, Soft Skills Development, Corporate Ethics, Resume Building, Placement Support, Globally Recognized Certificates, Hiring Clients, Resume Submission,IT Jobs, HTML,CSS , javascript ,Training Program, Offline Induction Training, Live Project Training, Soft Skills Development, Corporate Ethics, Resume Building, Placement Support, Globally Recognized Certificates, Hiring Clients, Resume Submission.Amazon Web Services (AWS), MySQL, Next.js, and React.js,AWS, PHP, NodeJS, Laravel, VueJS, HTML5, CSS3, JavaScript, MySQL,SQL,ASP.NET MVC,C,Databases, Node.js, React.js, Software Development"
React Developer,"TypeScript, React, debugging, performance issues, backend developers, integration, frontend development, testing, deployment,JavaScript,React.js,ASP.NET Core development, React.js, HTML5, CSS3, JavaScript, front-end technologies, RESTful APIs,  JWT, version control systems, Git, OpenAI,MySQL, HTML5, CSS, JavaScript, React, Node.js, design, development, Socket integration, custom development, customization, debugging, integration, third party API, payment gateway"
Frontend Developer,"WordPress, Shopify, HTML, CSS, JavaScript, jQuery, communication skills,Adobe Illustrator,React, Angular, React Native, frontend frameworks, responsive design, mobile-first development, Redux, Flex Design, Web3, Etherjs Library, version control systems, Git, user-centered design principles, communication skills,React, Angular, React Native, frontend frameworks, responsive design, mobile-first development, Redux, Flex Design, Web3, Etherjs Library, version control systems, Git, user-centered design principles, communication skills, PHP, HTML, CSS, JavaScript, jQuery, Bootstrap, ReactJS, responsive design principles, cross-browser compatibility, user testing, communication skills,SEO principles, HTML5, CSS3, ReactJs, Redux, CSS, JavaScript, Bootstrap, CSS ,LESS, SASS, jQuery,frontend development, React.js, HTML5, CSS3, JavaScript (ES6+), Redux, Mobx,RESTful APIs, Webpack, Babel, npm,yarn, CSS ,SASS, LESS,communication skills, Git,Remote Position, MERN Stack, OpenAI APIs, LinkedIn APIs, HTML, CSS, JavaScript, JSON, React, Web App Development, Third-party APIs, Clean Code, Organized Code, Efficient Code"
Data Analytics,"Python, SQL,Amazon Web Services (AWS),Tableau, data analysis,Graduation Degree, Administrative Support, MS Office Suite, Prioritization, Deadline Management, Problem-solving, Decision-making, Communication Skills,Bachelor's Degree, Master's Degree, Quantitative Field, Analytical Skills, Excel, Google Sheets, Statistical Understanding, Data Visualization Tools, Communication Skills, Teamwork, Time Management,Internship, web research, advertising and content data, data entry tasks, content creation, marketing efforts, Generative AI tools, ChatGPT, British English proficiency, data analysis, digital advertising, social media marketing, English proficiency, MS-Excel skills,Web Scraping Analyst, data extraction, data organization, trend identification, collaboration with editorial team, process automation, insights presentation, staying updated on techniques, detail-oriented, impactful data analysis,experience Desktop/Technical Support Engineer. Proficient in Windows/Linux/Mac OS. Skilled in office automation, peripherals, network security, and troubleshooting. Customer-centric,Experience as Desktop/Technical Support Engineer, Proficient in Windows, Linux, Mac OS, Skilled in office automation, peripherals, network security, remote troubleshooting, problem-solving, multitasking, and customer-centricity,Data Analysis,Data Reporting,Python,SQL,Data Analysis, task delegation, communication skills, Microsoft Office, Google Suite, Sisense, AWS QuickSight, Google Looker Studio, Power BI, Finance, Research, Analytics, data analysis tools, Excel, Google Sheets, problem-solving skills, communication skills,dashboards,excel,Data entry , numerical analysis, data management platform,data analysis, statistical analysis, data mining, predictive modeling, communication skills, Python, R, SQL, Tableau, Power BI"
Data Control Associate,"written communication, oral communication, segregation, distribution, balancing, correction, data entry, software packages, computer operation, FIS, support, Data Control Associate I"
Web Designer,"HTML5, CSS3, JavaScript, jQuery, Ajax, Photoshop, Illustrator, mobile device development, W3C standards, backbone.js, Angular.js, React.js, Less, SASS, Grunt, Gulp, client requirement understanding, communication skills, analytical abilities"
Java Developer,"Hibernate Framework,Fullstack Development,MySQL,Spring Boot Framework Java Fullstack,CSS,Hadoop,PHP,HTML,Machine Learning,AngularSalesforce,Java,,Devops,java 8,Spring Boot,core java,Spring"
IT Manager,"release management,operational support,information technology,service management,itil Framwork,remedy,servicenow,operations,itsm,communication skill,sitil"
Application Developer,"c,software development,git,net,programming,css,unit testing,sql server,javascript,application development,sql,design pattern,soops software solutions,software development methodologies,JavaScript, React, Angular, Vue.js, HTML5, CSS3, problem-solving, teamwork,Flutter, iOS, Android, collaboration, testing, performance optimization, Flutter, Dart, Firebase,game level designing, game development, bug fixing, Unity, Android, Java, Unity 3D,Swift, Xcode, iOS, debugging, testing, iOS app development, collaboration, code reviews,Interns, collaborate with development team, mobile applications, Flutter framework, troubleshooting, debugging, optimization, code reviews, constructive feedback, trends, best practices, mobile app development, cross-functional teams, software solutions, mobile development best practices, continuous improvement, team processes, technologies,Mobile Application Developer (Flutter), reporting to team lead, collaboration with internal teams, functional mobile applications development, fast-paced environment,Interns, collaborate with development team, mobile applications, Flutter framework, troubleshooting, debugging, optimization, code reviews, constructive feedback, trends, best practices, mobile app development, cross-functional teams, software solutions, mobile development best practices, continuous improvement, team processes, technologies,Core Java, J2EE Application Development, Jakarta EE, Java,Core Java, Java, Microservices, NoSQL, REST APIs,Reactive Programming,Spring Boo"
AI Developer,"Pytorch,Java,frontend development,Vue.js,CSS,AI/ML,HTML,React,python,Artificial Intelligence (AI),Data Science,Deep Learning,Natural Language Processing (NLP),Pattern Recognition,Problem Solving,Speech Recognition,Artificial Intelligence (AI),Data Science,Deep Learning,Natural Language Processing (NLP),Flask,Image Processing,Data Engineering,Version Management,Artificial Intelligence (AI),Computer Vision,Data Science,Deep Learning,English,image Processing,Machine Learning,Pattern Recognition"
HR Executive,"voice,Sr. HR,HR Generalist,administration,non-voice,back,office,trainee,HR Generalist Activities,HR Operations,Java Spring Boot,recur,Consultancy,Hr Rec,Job Posting,Testing Concepts,HR Consulting"
Backend Developer,"Node.js and Express.js, MySQL, MongoDB, PostgreSQL, RESTful API , Git, cloud computing,AWS, Azure, Google Cloud,Strong communication skills,MySQL,Node.Js,MongoDB,Restful Web Api Development,Database Design And Development,GIT,Jwt,authentication and authorisation,Strong logical skills, Node.js, React.js, Next.js, MongoDB, HTML, JavaScript, CSS, Shopify store customization, Shopify App development, BigCommerce App development, PHP web frameworks, Laravel, Yii, SQL, NoSQL databases, AWS setup, notice period, immediate joining, commitment,Backend, PHP, Laravel framework, MongoDB, MySQL, AWS, Git, GitHub, REST API,Hibernate, JSP, JQeury , HTML, CSS, Javascript, Java, Data structure and Algorithms, SQL"
Python Developer,"Python, PHP, MySQL, NoSQL, UNIX, ,Linux, Django, React, HTML, CSS, XML, JavaScript, jQuery, JSON,Apache,APIs"
Digital Marketing,"Social Media ,Content Marketing,Link Building,Search Engine,Search Engine Marketing,Social Media,Social Media Marketing,Social Media Optimization"
Database Developer,"MS SQL,RDBMS,T SQL,Query Tuning,SQL Development,Database Design,SQL Database,Performance Tuning,SQL DBA"
Business Analyst,"Data Mining,Machine Learning,MATLAB,microsoft excel,Critical Thinking,ERP,SDLC Life Cycle,SQL Database,Prototyping,Python"
Net Developer,"Web Api,Programming,Net Development,MVC,Database Development"
Devops Developer,"DevOps concepts, Salt, Ansible, Terraform, scripting languages, Bash, Python, CI/CD tools, Jenkins, version control systems, Git, Bitbucket, GNU/Linux, Unix-like operating systems, DevSecOps security practices, observability tools, LGTM, ELK stack, containerization technologies, Kubernetes, Docker, public clouds, AWS, Azure, networking, security concepts,Public Clouds (AWS, Azure, Google Cloud Platform), service configuration (Apache, Nginx, MySQL, PHP), Linux servers, Virtualization, Containerization, Linux scripting languages (Python, Perl, Bash), communication skills,AWS SageMaker,Amazon EC2,Amazon Route 53,Amazon Web Services (AWS),Business Requirements,Technical Solution Design,Optimization,Domain Name System (DNS),Solution Architecture"
Support Engineer,"Customer Support, Technical Support, Analytical Skills, Problem-solving, Adaptability, Organization, Detail-oriented, Cross-functional Collaboration"
System Engineer,"C, C++, Linux device drivers,Embedded Systems"
Flutter Engineer,"Flutter, Gaming, and React.js"
iOS Developer,"Mobile Application Development,REST APIs,Swift (Programming Language),iOS Development,Objective-C"
Cloud Engineer,"AWS CloudFormation, Amazon Web Services (AWS),CLI,Cloud Computing,Terraform"
Dotnet Developer,".NET APIs,.NET Core,.NET Framework,ASP.NET,ASP.NET MVC,SQL,Visual Basic .NET (VB.NET)"
Sales Engineer," Incoterms, Sales, and Technical Sales,Engineering"
